data	data	438860	183048	694548	656208	123636	91636	370192	186956	49680	50368	221376	103236	234884	165704	119724	95992	168868	73492	528188	569128	51356	76276	253392	315992	22576	70416	22300	64304	487432	314704	226440	458588	163280	499936	95840	114356	236832	239696	43300	145260	20252	45012	139448	305536	148812	272372	208724	303016	150184	377312	498728	246420	108392	74888	270156	353576	251216	142724	135040	152052	221124	130608	130608	82640	164444	126152	212176	272868	243244	114244	224704	460992	324808	354848	32336	31176	94144	140712	112904	22684	206892	83028	62020	41420	292308	158020	28728	20076	223100	139924	371860	356980	342084	290592	13204	28088	170316	170696	350280	400600	259208	162312	280916	337616	88800	131664	17116	6612	12516	18932	134636	197276	221860	91088	64208	17724	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
438860	Precentral_L	0	646	12064	324	0	0	16720	0	0	0	9980	0	728	0	0	0	9622	0	8748	8972	0	0	0	0	0	0	0	0	12354	62	0	316	2210	8496	2120	1008	9028	214	738	0	0	0	180	102	244	200	0	0	0	396	2112	148	0	0	1014	76	27450	294	444	198	5250	220	2820	0	456	0	348	502	36950	1274	6424	2650	3468	940	0	186	9512	412	5410	0	3992	0	0	0	988	0	0	0	350	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
183048	Precentral_R	646	0	1492	6222	0	0	602	3016	0	0	0	5464	0	326	0	0	0	986	924	5402	0	0	0	0	0	0	0	0	0	4908	0	0	342	6456	0	268	0	6792	0	1528	0	0	0	588	0	184	0	198	0	272	0	206	0	106	0	2348	0	15626	0	1240	0	2418	0	3896	0	318	0	1208	804	8172	816	0	86	2304	0	0	94	1286	0	246	0	910	0	0	0	786	0	0	0	2038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
694548	Frontal_Sup_L	12064	1492	0	6850	9344	0	47572	2104	1066	0	8484	1182	11854	62	3716	0	1930	0	58848	12446	690	0	34096	2654	1070	92	190	0	29894	392	12972	4822	5880	4588	234	0	9034	192	84	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	434	0	252	0	0	0	0	0	638	0	0	0	0	0	5452	0	5908	7898	24790	3246	1916	1212	7430	734	208	0	490	0	196	0	68	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
656208	Frontal_Sup_R	324	6222	6850	0	94	4198	1188	27398	0	772	522	4674	422	7842	66	2688	310	4828	7600	36888	0	196	4364	34478	0	3572	0	1436	1398	14274	2814	42386	978	18412	0	0	160	9694	0	2248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	506	0	0	0	0	0	668	0	0	0	0	0	0	1856	30154	180	27008	0	2500	378	13168	0	252	64	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123636	Frontal_Sup_Orb_L	0	0	9344	94	0	0	1570	0	8766	0	156	0	1040	0	8596	0	0	0	1348	0	2082	0	4138	0	2790	0	3662	0	8646	0	1242	120	0	0	0	0	98	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	176	7156	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91636	Frontal_Sup_Orb_R	0	0	0	4198	0	0	0	2214	0	5950	0	0	0	0	0	4388	0	0	0	0	0	1376	0	4468	0	6944	0	7708	0	792	118	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2930	0	2876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
370192	Frontal_Mid_L	16720	602	47572	1188	1570	0	0	312	1384	0	13662	588	26410	146	5928	68	248	0	10248	104	508	0	11556	702	116	0	108	0	13512	398	5760	1586	1168	72	0	0	2736	0	142	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	134	0	324	0	96	0	76	0	134	0	0	0	0	0	198	0	5686	4750	5340	1632	0	178	382	0	682	0	120	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
186956	Frontal_Mid_R	0	3016	2104	27398	0	2214	312	0	0	3506	0	5688	0	15596	0	5336	0	238	1668	1142	0	0	362	4134	0	0	0	0	0	5752	118	3356	0	2716	0	0	0	1356	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	1356	0	4358	0	0	0	386	0	84	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
