data	data	413824	271940	922516	724616	123556	120164	523852	188008	56496	25900	147520	159068	249400	92308	150384	78384	209772	59432	593324	623592	63516	61548	333144	385836	39580	95192	57400	36000	570708	175168	231616	497036	124420	427128	150644	202416	276568	332968	97388	173408	42400	58620	267228	365296	170952	305152	385948	361124	164272	303560	439640	198492	193252	89424	482544	467584	260332	176172	134316	161064	216680	149040	142716	104204	155320	125408	237204	347380	231964	150048	206932	386752	274432	276712	75416	34168	174988	207228	50052	13232	204388	71032	74648	53392	365440	206772	17376	14216	363740	225348	655736	513764	566220	452596	58436	107560	381536	279100	613720	569976	392152	215380	523988	410024	154976	107680	24792	11188	29588	95160	321060	298804	267820	215348	115200	28792	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
413824	Precentral_L	0	1306	13724	1208	0	0	17082	82	0	0	7030	0	490	0	0	0	8394	0	6942	2180	0	0	0	0	0	0	0	0	12600	84	1356	274	166	526	1984	2728	7706	2914	896	364	0	0	564	0	174	0	132	0	0	0	4866	0	4412	210	4186	1308	23730	120	1392	0	4762	0	2886	0	984	0	342	114	21658	192	822	582	6280	0	2074	0	12720	1886	2174	0	4866	0	170	0	6382	0	0	0	6508	182	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
271940	Precentral_R	1306	0	1152	25268	0	0	170	12884	0	0	0	7878	0	304	0	0	0	1350	3056	5156	0	0	618	78	0	0	0	0	298	3676	74	2406	0	796	510	980	574	7332	0	942	0	0	0	866	0	150	0	340	0	128	0	0	0	268	0	1268	0	18226	0	536	0	568	0	698	0	84	0	1576	2232	4732	216	1654	182	4922	284	1014	1176	13566	74	162	0	684	0	0	0	1664	0	0	0	1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
922516	Frontal_Sup_L	13724	1152	0	5070	11962	112	73770	850	5502	0	12564	622	21548	0	11762	88	9610	0	70900	15076	388	364	34486	5000	780	138	870	0	48790	180	15922	5574	4018	4288	0	0	5388	1002	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1868	0	2686	214	254	0	312	0	0	0	76	0	0	0	2660	0	11490	3518	29430	2464	7568	800	5608	362	0	0	5226	0	2018	0	284	0	0	0	2446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
724616	Frontal_Sup_R	1208	25268	5070	0	0	8328	968	18382	0	1144	0	7982	150	5710	0	5472	0	2140	11238	51026	0	0	10252	44946	190	4974	0	0	730	6878	3254	35272	1550	18004	700	1182	864	7430	0	1218	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	802	94	1668	0	330	0	380	0	138	0	0	0	76	3814	208	1910	24976	586	9492	488	1760	2346	29966	112	0	0	312	0	358	0	332	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123556	Frontal_Sup_Orb_L	0	0	11962	0	0	0	6906	0	7252	0	0	0	4300	0	6400	0	0	0	294	0	1012	996	3094	0	3220	0	5114	0	1900	0	3306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2248	846	2928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
120164	Frontal_Sup_Orb_R	0	0	112	8328	0	0	0	2290	0	4220	0	212	0	260	0	3394	0	0	0	1516	0	566	648	8276	222	8292	0	4376	0	900	188	7434	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	5976	0	2358	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
523852	Frontal_Mid_L	17082	170	73770	968	6906	0	0	0	4912	0	9738	0	31182	0	14970	0	4852	0	15738	2450	272	250	16194	2832	0	0	474	0	22470	0	6844	1406	1072	1814	0	176	1050	164	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	2632	0	0	0	0	0	0	0	0	0	0	0	0	0	2294	810	8146	172	1662	168	5628	264	0	0	1640	0	338	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
188008	Frontal_Mid_R	82	12884	850	18382	0	2290	0	0	0	2014	0	10680	0	5780	0	3182	0	806	920	4266	0	0	2040	2206	0	114	0	0	490	1282	298	10346	0	2108	0	0	0	1002	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	2552	0	0	0	0	0	0	0	0	0	0	0	0	152	2308	0	3912	0	1468	0	926	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56496	Frontal_Mid_Orb_L	0	0	5502	0	7252	0	4912	0	0	0	0	0	3166	0	5690	0	0	0	0	0	0	80	0	0	0	0	698	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25900	Frontal_Mid_Orb_R	0	0	0	1144	0	4220	0	2014	0	0	0	0	0	0	0	3492	0	0	0	0	0	0	0	294	0	328	0	132	0	138	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
147520	Frontal_Inf_Oper_L	7030	0	12564	0	0	0	9738	0	0	0	0	0	9658	0	0	0	8288	0	6264	0	0	0	322	0	0	0	0	0	11782	0	386	0	126	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	172	0	3030	0	2164	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
159068	Frontal_Inf_Oper_R	0	7878	622	7982	0	212	0	10680	0	0	0	0	0	12094	0	308	0	3142	622	7092	0	0	1164	702	0	0	0	0	568	8894	180	6066	0	1660	0	0	0	626	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2832	0	132	0	228	0	124	0	0	0	0	0	0	144	1552	0	2848	0	186	0	162	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
